*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,Tribal - Engineering (5281),Bank,Tax Exempt (0%),,No,No,No,
,CIB CPS,Bank,Tax Exempt (0%),,No,No,No,
,Kuwait Bank,Bank,Tax Exempt (0%),,No,No,No,
,Tribal - Marketing (8477),Bank,Tax Exempt (0%),,No,No,No,
,Tribal - Technology (9401),Bank,Tax Exempt (0%),,No,No,No,
,Audi Money Market Fund,Bank,Tax Exempt (0%),,No,No,No,
,Nasr City Safe,Bank,Tax Exempt (0%),,No,No,No,
0477,Wages and Salaries - OPS,Expense,Tax on Purchases (0%),Wages and Salaries - OPS,Yes,Yes,Yes,
0479,Employee Allowances - OPS,Expense,Tax on Purchases (0%),Employee Allowances - OPS,Yes,Yes,Yes,
0480,Deduction - OPS,Expense,Tax on Purchases (0%),Deduction - OPS,Yes,Yes,Yes,
0482,Social Insurance Expense - OPS,Expense,Tax on Purchases (0%),Social Insurance Expense - OPS,Yes,Yes,Yes,
100,Emergency Expenses,Expense,Tax on Purchases (0%),For Emergency Expenses,Yes,Yes,Yes,
1000,Travel - National (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),Travel - National (Unsupported with Tax Invoice),No,No,Yes,
1002,Travel - International (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1003,Office Expenses - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1004,Emergency Expenses - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1005,Entertainment - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1006,Small assets written off in one year - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1007,Recruitment Expense - (Unsupported with Tax Invoice),Expense,Tax on Purchases (0%),,No,No,Yes,
1008,Transportation Expenses - (Unsupported with Tax Invoice),Direct Costs,Tax on Purchases (0%),,No,No,Yes,
1009,Telephone & Internet,Expense,Tax on Purchases (0%),,No,No,Yes,
1010,Supply Expenses,Expense,Tax on Purchases (0%),payment for supply expenses department,No,No,No,
1600,Advertising - Paid,Expense,Tax on Purchases (0%),,No,No,No,
